"Based on this definition of 'great', has your perception of your squad being great gotten better/worse in the last 3 months?"
Better
Same
Worse
Better
Better
Better
Same
Worse
Same
Better
Worse
Worse
Better
Same
Worse
Better
Better
Worse
Same
Better
Better
Worse
